i7_field,i2_field,obligation,field_type,content_type
identifier,identifier,required,Text (plain),av|book|image|interview|japanese_print|manuscript|map|musical_recording|notated_music|photograph|serial
id,identifier,required,Text (plain),av|book|image|interview|japanese_print|manuscript|map|musical_recording|notated_music|photograph|serial
media_object_identifier,identifier,required,Text (plain),av|book|image|interview|japanese_print|manuscript|map|musical_recording|notated_music|photograph|serial
title,title,required,"Text (formatted, long)",av|book|image|interview|japanese_print|manuscript|map|musical_recording|notated_music|photograph|serial
media_object_title,title,required,"Text (formatted, long)",av|book|image|interview|japanese_print|manuscript|map|musical_recording|notated_music|photograph|serial
description,description,required,"Text (formatted, long)",av|book|image|interview|japanese_print|manuscript|map|musical_recording|notated_music|photograph|serial
language,language,"required, if applicable",Entity reference,av|book|image|interview|japanese_print|manuscript|map|musical_recording|notated_music|photograph|serial
edition,edition,"required, if applicable",Text (plain),book
,volume,"required, if applicable",Text (plain),serial
,issue,"required, if applicable",Text (plain),serial
,frequency,"required, if applicable","Text (plain, long)",serial
normalized_date,date,required,EDTF,av|book|image|interview|japanese_print|manuscript|map|musical_recording|notated_music|photograph|serial
normalized_date_qualifier,,,EDTF,av|book|image|interview|japanese_print|manuscript|map|musical_recording|notated_music|photograph|serial
copyright_date,copyright_date,"required, if applicable",EDTF,av|book|image|interview|japanese_print|manuscript|map|musical_recording|notated_music|photograph|serial
copyright_status,copyright_status,required,Entity reference,av|book|image|interview|japanese_print|manuscript|map|musical_recording|notated_music|photograph|serial
rights_holder,copyright_holder,"required, if applicable","Text (plain, long)",av|book|image|interview|japanese_print|manuscript|map|musical_recording|notated_music|photograph|serial
,rights_notes,optional,"Text (plain, long)",av|book|image|interview|japanese_print|manuscript|map|musical_recording|notated_music|photograph|serial
publisher,publisher,"required, if applicable","Text (plain, long)",av|book|image|interview|japanese_print|manuscript|map|musical_recording|notated_music|photograph|serial
pub_place,publication_place,"required, if applicable","Text (plain, long)",av|book|image|interview|japanese_print|manuscript|map|musical_recording|notated_music|photograph|serial
creator,creator_person,"required, if applicable",Typed Relation,av|book|image|interview|japanese_print|manuscript|map|musical_recording|notated_music|photograph|serial
creator,creator_corporate,"required, if applicable",Typed Relation,av|book|image|interview|japanese_print|manuscript|map|musical_recording|notated_music|photograph|serial
creator,creator_conference,"required, if applicable",Typed Relation,av|book|image|interview|japanese_print|manuscript|map|musical_recording|notated_music|photograph|serial
creator,creator_family,"required, if applicable",Typed Relation,av|book|image|interview|japanese_print|manuscript|map|musical_recording|notated_music|photograph|serial
,photographer_person,"required, if applicable",Typed Relation,photograph
,photographer_corporate,"required, if applicable",Typed Relation,photograph
interviewee,interviewee,"required, if applicable",Typed Relation,interview
interviewer,interviewer,"required, if applicable",Typed Relation,interview
,conductor,"required, if applicable",Typed Relation,musical_recording
,instrumentalist,"required, if applicable",Typed Relation,musical_recording
,singer,"required, if applicable",Typed Relation,musical_recording
,composer,"required, if applicable",Typed Relation,notated_music
,lyricist,"required, if applicable",Typed Relation,notated_music
,arranger,"required, if applicable",Typed Relation,notated_music
contributor,contributor_person,"required, if applicable",Typed Relation,av|book|image|interview|japanese_print|manuscript|map|musical_recording|notated_music|photograph|serial
contributor,contributor_corporate,"required, if applicable",Typed Relation,av|book|image|interview|japanese_print|manuscript|map|musical_recording|notated_music|photograph|serial
subject_name,subject_name_person,"required, if applicable",Entity reference,av|book|image|interview|japanese_print|manuscript|map|musical_recording|notated_music|photograph|serial
subject_name,subject_name_corporate,"required, if applicable",Entity reference,av|book|image|interview|japanese_print|manuscript|map|musical_recording|notated_music|photograph|serial
subject_name,subject_name_conference,"required, if applicable",Entity reference,av|book|image|interview|japanese_print|manuscript|map|musical_recording|notated_music|photograph|serial
subject_name,subject_name_family,"required, if applicable",Entity reference,av|book|image|interview|japanese_print|manuscript|map|musical_recording|notated_music|photograph|serial
subject_topic,subject_topic,required,Entity reference,av|book|image|interview|japanese_print|manuscript|map|musical_recording|notated_music|photograph|serial
subject_geographic,subject_geographic,"required, if applicable",Entity reference,av|book|image|interview|japanese_print|manuscript|map|musical_recording|notated_music|photograph|serial
,subject_temporal,"required, if applicable",Entity reference,av|book|image|interview|japanese_print|manuscript|map|musical_recording|notated_music|photograph|serial
,subject_title,"required, if applicable",Entity reference,av|book|image|interview|japanese_print|manuscript|map|musical_recording|notated_music|photograph|serial
genre,genre,required,Entity reference,av|book|image|interview|japanese_print|manuscript|map|musical_recording|notated_music|photograph|serial
,genre_japenese_prints,required,Entity reference,japanese_print
type_of_resource,type_of_resource,required,Entity reference,av|book|image|interview|japanese_print|manuscript|map|musical_recording|notated_music|photograph|serial
,alternative_title,optional,"Text (plain, long)",book|manuscript|serial
,preceding_title,optional,"Text (plain, long)",serial
,succeeding_title,optional,"Text (plain, long)",serial
,related_title,optional,"Text (plain, long)",book|manuscript|serial
,part_of,optional,"Text (plain, long)",book|manuscript|serial
format,format,recommended,Entity reference,av|book|image|interview|japanese_print|manuscript|map|musical_recording|notated_music|photograph|serial
extent,extent,recommended,Text (plain),av|book|image|interview|japanese_print|manuscript|map|musical_recording|notated_music|photograph|serial
,isbn,"required, if applicable",Text (plain),book
,issn,"required, if applicable",Text (plain),serial
,music_publisher_number,"required, if applicable","Text (plain, long)",notated_music
,table_of_contents,optional,"Text (formatted, long)",book|manuscript|serial
address,address,optional,"Text (plain, long)",image|map|photograph
,thoroughfares,optional,"Text (plain, long)",image|map|photograph
,coordinates,recommended,Geolocation,map
,coordinates_text,recommended,Text (plain),map
,projection,recommended,"Text (plain, long)",map
,scale,recommended,Text (plain),map
