term,code,note
"abridger",abr,
"actor",act,
"adapter",adp,
"addressee",rcp,
"analyst",anl,
"animator",anm,
"annotator",ann,
"announcer",anc,
"appellant",apl,
"appellee",ape,
"applicant",app,
"appraiser",exp,
"architect",arc,
"arranger",arr,
"arranger of music",arr,
"art copyist",acp,
"art director",adi,
"artist",art,
"artistic director",ard,
"assignee",asg,
"associated name",asn,
"attributed name",att,
"auctioneer",auc,
"audio engineer",aue,
"audio producer",aup,
"author",aut,
"author in quotations or text abstracts",aqt,
"author of afterword, colophon, etc.",waw,
"author of dialog",aud,
"author of introduction, etc.",win,could also be 'waw' or 'wpr'
"author of screenplay, etc.",aus,
"autographer",ato,
"bibliographic antecedent",ant,
"binder",bnd,
"binding designer",bdd,
"blurb writer",blw,
"book artist",bka,
"book designer",bkd,
"book producer",bkp,
"bookjacket designer",bjd,
"bookplate designer",bpd,
"bookseller",bsl,
"bowdlerizer",cns,
"braille embosser",brl,
"broadcaster",brd,
"calligrapher",cll,
"camera operator",cop,
"cartographer",ctg,
"caster",cas,
"casting director",cad,
"censor",cns,
"chief electrician",elg,
"choral conductor",cnd,
"choreographer",chr,
"cinematographer",cng,
"civil defendant",dfd,
"client",cli,
"collaborator",ctb,
"collection registrar",cor,
"collector",col,
"collotyper",clt,
"colorist",clr,
"colourist",clr,
"commentator",cmm,
"commentator for written text",cwt,
"commissioning body",pat,
"compiler",com,
"complainant",cpl,
"complainant-appellant",cpt,
"complainant-appellee",cpe,
"composer",cmp,
"compositor",cmt,
"conceptor",ccp,
"conductor",cnd,
"conservator",con,
"consultant",csl,
"consultant to a project",csp,
"contestant",cos,
"contestant-appellant",cot,
"contestant-appellee",coe,
"contestee",cts,
"contestee-appellant",ctt,
"contestee-appellee",cte,
"contractor",ctr,
"contributor",ctb,
"copier",fac,could also be 'frg
"copyright claimant",cpc,
"copyright holder",cph,
"corrector",crr,
"correspondent",crp,
"costume designer",cst,
"counterfeiter",frg,
"court governed",cou,
"court reporter",crt,
"cover designer",cov,
"creator",cre,
"criminal defendant",dfd,
"curator",cur,
"curator of an exhibition",cur,
"current owner",own,
"dancer",dnc,
"data contributor",dtc,
"data manager",dtm,
"dedicatee",dte,
"dedicatee of item",dte,
"dedicator",dto,
"defendant",dfd,
"defendant-appellant",dft,
"defendant-appellee",dfe,
"degree committee member",dgc,
"degree granting institution",dgg,
"degree grantor",dgg,
"degree supervisor",dgs,
"delineator",dln,
"depicted",dpc,
"deponent",wit,
"depositor",dpt,
"designer",dsr,
"designer of binding",bdd,
"designer of book",bkd,
"designer of bookjacket",bjd,
"designer of cover",cov,
"designer of e-book",bkd,
"designer of type",tyd,
"director",drt,
"director of photography",cng,
"dissertant",dis,
"distribution place",dbp,
"distributor",dst,
"dj",djo,
"donor",dnr,
"draftsman",drm,
"dubbing director",dbd,
"dubious author",dub,
"editor",edt,
"editor of compilation",edc,
"editor of moving image work",edm,
"editorial director",edd,
"electrician",elg,
"electrotyper",elt,
"enacting jurisdiction",enj,
"encoder",mrk,
"engineer",eng,
"engraver",egr,
"etcher",etr,
"event place",evp,
"expert",exp,
"expurgator",cns,
"eyewitness",wit,
"facsimilist",fac,
"field director",fld,
"film director",fmd,
"film distributor",fds,
"film editor",flm,
"film producer",fmp,
"filmmaker",fmk,
"first party",fpy,
"forger",frg,
"former owner",fmo,
"founder",fon,
"funder",fnd,
"game developer",gdv,
"geographic information specialist",gis,
"geospatial information specialist",gis,
"graphic technician",art,
"honoree",hnr,
"honouree",hnr,
"honouree of item",hnr,
"host",hst,
"host institution",his,
"host, supporting",sht,
"house electrician",elg,
"illuminator",ilu,
"illustrator",ill,
"imprimatur",lso,
"inker",ink,
"inscriber",ins,
"instructor",tch,
"instrumental conductor",cnd,
"instrumentalist",itr,
"interviewee",ive,
"interviewer",ivr,
"inventor",inv,
"issuing body",isb,
"joint author",aut,
"judge",jud,
"jurisdiction governed",jug,
"lab director",ldr,
"laboratory",lbr,
"laboratory director",ldr,
"landscape architect",lsa,
"lead",led,
"lender",len,
"letterer",ltr,
"libelant",lil,
"libelant-appellant",lit,
"libelant-appellee",lie,
"libelee",lel,
"libelee-appellant",let,
"libelee-appellee",lee,
"librettist",lbt,
"licensee",lse,
"licensor",lso,
"lighting designer",lgd,
"lithographer",ltg,
"lyricist",lyr,
"makeup artist",mka,
"manufacture place",mfp,
"manufacturer",mfr,
"marbler",mrb,
"markup editor",mrk,
"master electrician",elg,
"medium",med,
"metadata contact",mdc,
"metal-engraver",mte,
"minute taker",mtk,
