mods_genre_authority_aat_ms,field_genre,Action
abstracts (summaries),abstracts (summaries),
academic addresses (documents),academic addresses (documents),
account books,account books,
accounts,accounts,
address books,address books,
administrative records,administrative records,
admission tickets,admission tickets,
advertisements,advertisements,
advertising blotters,advertising blotters,
advertising cards,advertising cards,
affidavits,affidavits,
agreements,agreements,
albumen prints,albumen prints,
albums (books),albums (books),
anniversary announcements,anniversary announcements,
announcements,announcements,
annual indexes,annual indexes,
annual reports,annual reports,
annuals (publications),annuals (publications),
anthologies,anthologies,
application forms,application forms,
appointment books,appointment books,
appraisals (financial records),appraisals (financial records),
architectural drawings (visual works),architectural drawings (visual works),
art (broad object genre),art (broad object genre),
articles,articles,
artifacts (object genre),artifacts (object genre),
atlases,atlases,
attendance records,attendance records,
autobiographies (literary works),autobiographies (literary genre),replace
autobiographies (literary genre),autobiographies (literary genre),
autograph albums,autograph albums,
ballots,ballots,
banners,banners,
baptismal certificates,baptismal certificates,
baptismal registers,baptismal registers,
Bible records,Bible records,
bibliographies,bibliographies,
billheads,billheads,
bills of sale,bills of sale,
biographical dictionaries,biographical dictionaries,
biographies (literary genre),biographies (literary genre),
biographies (literary works),biographies (literary genre),replace
black-and-white prints (photographs),black-and-white prints (photographs),
blank leaves,blank leaves,
blogs,blogs,
blueprints (reprographic copies),blueprints (reprographic copies),
bonds (legal records),bonds (legal records),
bonds (negotiable instruments),bonds (negotiable instruments),
booklets,booklets,
books,books,
booksellers' catalogs,booksellers' catalogs,
boxes (containers),boxes (containers),
briefs (legal documents),briefs (legal documents),
broadsides (notices),broadsides (notices),
brochures,brochures,
bulletins,bulletins,
burial records,burial records,
burial registers,burial registers,
business cards,business cards,
business records,business records,
buttons (information artifacts),buttons (information artifacts),
bylaws (administrative records),bylaws (administrative records),
cabinet photographs,cabinet photographs,
calendars (documents),calendars (documents),
card photographs (photographs),card photographs (photographs),
cards (information artifacts),cards (information artifacts),
caricatures,caricatures,
cartes-de-visite (card photographs),cartes-de-visite (card photographs),
cartoons (humorous images),cartoons (humorous images),
case files,case files,
catalogs (documents),catalogs (documents),
census records,census records,
certificates,certificates,
chants,chants,
chemises (book coverings),chemises (book coverings),
