PID,field_address,field_geographic_features,field_geographic_features_categories,field_throroughfares,field_subject,field_subjects_name,Note
pitt:000001.UE,,,,,,"Hotel Pittsburgher (Pittsburgh, Pa.)",
pitt:000004.UE,,,,,,United States. Court of Appeals (District of Columbia Circuit),
pitt:000005.PIC,,,,,,,
pitt:000006.UE,Corner of 16th Street and 8th Avenue,,,,,,
pitt:000007.UE,Corner of 9th Street and 7th Avenue,,,,,,
pitt:000009.PIC,436 Grant Street,,,,,,
pitt:000010.PIC,4141 5th Avenue,,,,,,
pitt:000011.PIC,320 East North Avenue,,,,,,
pitt:000012.UE,,,,,,"Janecki Manufacturing (Pittsburgh, Pa.)",
pitt:000034.PIC,5315 Baum Boulevard,,,,,,
pitt:000035.PIC,5315 Baum Boulevard,,,,,,
pitt:000036.PIC,5815 Forward Avenue,,,,,,
pitt:000036.UE,,,,,,,
pitt:000037.PIC,2001-2005 West Liberty Avenue,,,,,,
pitt:000037.UE,,,,,,,
pitt:000038.PIC,4909 Liberty Avenue,,,,,,
pitt:000039.PIC,398 Perrysville Road,,,,,,
pitt:000042.PIC,5700 Baum Boulevard,,,,,,
pitt:000043.PIC,125 Saw Mill Run Boulevard,,,,,,
pitt:000043.UE,,,,,,"Hotel Commodore (New York, N.Y.)",
pitt:000044.PIC,2334 Saw Mill Run Boulevard,,,,,,
pitt:000045.PIC,5417 Penn Avenue,,,,,,
pitt:000046.PIC,5921 Baum Boulevard,,,,,,
pitt:000047.PIC,5555 Centre Avenue,,,,,,
pitt:000048.PIC,2435 Saw Mill Run Boulevard,,,,,,
pitt:000049.PIC,3201 Boulevard of the Allies,,,,,,
pitt:000050.PIC,5424 Centre Avenue,,,,,,
pitt:000053.PIC,4267 Baum Boulevard,,,,,,
pitt:000054.PIC,4267 Baum Boulevard,,,,,,
pitt:000057.UE,,,,Braddock Avenue,,,
pitt:000067.PIC,,,,Mulberry Way,,,
pitt:000069.PIC,226 4th Avenue,,,,,,
pitt:000073.UE,,,,,,,
pitt:000074.UE,,,,,,"United Steelworkers Union Hall (Erie, Pa.)",
pitt:000075.UE,,,,,,"United Steelworkers Union Hall (Erie, Pa.)",
pitt:000076.UE,,,,,,"United Steelworkers Union Hall (Erie, Pa.)",
pitt:000077.UE,,,,,,"United Steelworkers Union Hall (Erie, Pa.)",
pitt:000080.PIC,,,,West Liberty Avenue,,,
pitt:000083.PIC,,,,,,,
pitt:000084.PIC,,,,,,,
pitt:000085.PIC,,,,,,,
pitt:000087.PIC,,,,,,,
pitt:000089.PIC,,,,,,,
pitt:000090.PIC,,,,,,,
pitt:000091.PIC,,,,,,,
pitt:000093.PIC,501-527 Federal Street,,,,,,
pitt:0001.UT,500 Grant Street,,,,,,
pitt:000100.PIC,,,,6th Street Bridge,,,
pitt:000101.PIC,,,,6th Street Bridge,,,
pitt:000102.PIC,,,,Grant Street,,,
pitt:000106.PIC,436 Grant Street,,,,,,
pitt:000107.UE,2020 Washington Avenue,,,,,,
pitt:000109.PIC,434 5th Avenue,,,,,,
pitt:000110.PIC,4400 Forbes Avenue,,,,,,
pitt:000139.PIC,,,,Liberty Avenue,,,
pitt:000140.PIC,,,,Fifth Avenue,,,
pitt:000141.PIC,,,,Fifth Avenue,,,
pitt:000145.PIC,314 6th Avenue,,,,,,
pitt:000146.PIC,314 6th Avenue,,,,,,
pitt:000152.PIC,,,,,,,
pitt:000156.PIC,537 Woodbourne Avenue,,,,,,
pitt:000157.PIC,1811 West Liberty Avenue,,,,,,
pitt:000165.PIC,210-216 Market Street,,,,,,
pitt:000166.PIC,,,,Grant Street,,,
pitt:000167.PIC,,,,Grant Street,,,
pitt:000168.PIC,,,,Grant Street,,,
pitt:000169.PIC,,,,Boulevard of the Allies,,,
pitt:000170.PIC,446-510 Liberty Avenue,,,,,,
pitt:000171.PIC,915-921 Liberty Avenue,,,,,,
