Solr_Field,Original_Name,Valid_Name,URI,Authority,Type,Relator,Action
mods_subject_topic_ms,1713 Series All-Electric PCC (Trolley car),1713 Series All-Electric PCC (Trolley car),,local,corporate,,split
mods_subject_topic_ms,1746 Series All-Electric PCC (Trolley Car),1746 Series All-Electric PCC (Trolley Car),,local,corporate,,split
mods_subject_topic_ms,22d,United States. Army,http://id.loc.gov/authorities/names/n79063202,naf,corporate,,split
mods_subject_topic_ms,22d,"United States. Army. Pennsylvania Cavalry Regiment, 22nd (1864-1865)",http://id.loc.gov/authorities/names/n88059147,naf,corporate,,add
mods_subject_topic_ms,Antigone (Greek mythology),Antigone (Mythological character),http://id.loc.gov/authorities/names/no2014084634,naf,personal,,replace
mods_subject_topic_ms,Art Institute,Art Institute of Chicago,http://id.loc.gov/authorities/names/n78096940,naf,corporate,,replace
mods_subject_topic_ms,"Bando, Shuka","Bandō, Shūka I, 1813-1855",http://id.loc.gov/authorities/names/no2024091586,naf,personal,,add
mods_subject_topic_ms,"Bandō, Hikosaburō","Bandō, Hikosaburō, VIII, 1943-",http://id.loc.gov/authorities/names/no2024091691,naf,personal,,replace
mods_subject_topic_ms,"Bandō, Mitsugorō","Bandō, Mitsugorō III, 1775-1831",http://id.loc.gov/authorities/names/no2024087967,naf,personal,,replace
mods_subject_topic_ms,Filmo.,Bell & Howell Co.,http://id.loc.gov/authorities/names/n79052904,naf,corporate,,split
mods_subject_topic_ms,Big Bird (Fictitious character).,Big Bird (Fictitious character),http://id.loc.gov/authorities/names/no2020009510,naf,personal,,replace
mods_subject_topic_ms,Boxer (Brig),Boxer (Brig),http://id.loc.gov/authorities/names/n2002073345,naf,corporate,,
mods_subject_topic_ms,Busch,"Busch, Ernst, 1885-1945",http://id.loc.gov/authorities/names/no2009113563,naf,personal,,replace
mods_subject_topic_ms,Constitution (Frigate).,Constitution (Frigate),http://id.loc.gov/authorities/names/n80090462,naf,corporate,,replace
mods_subject_topic_ms,Cyane (Frigate).,Cyane (Frigate),http://id.loc.gov/authorities/names/n2001120167,naf,corporate,,replace
mods_subject_topic_ms,Job.,"Diallo, Ayuba Suleiman, 1701-1773",http://id.loc.gov/authorities/names/n2015024670,naf,personal,,replace
mods_subject_topic_ms,"Dunlap Shoes and Menswear (Detroit, Mi.)","Dunlap Shoes and Menswear (Detroit, Mi.)",,local,corporate,,
mods_subject_topic_ms,Eastern Airlines.,Eastern Air Lines,http://id.loc.gov/authorities/names/n79114181,naf,corporate,,replace
mods_subject_topic_ms,Eguchi no Kimi (Legendary character),Eguchi no Kimi (Legendary character),,local,personal,,split
mods_subject_topic_ms,"Finn, Huckleberry (Fictitious character)","Finn, Huckleberry (Fictitious character)",http://id.loc.gov/authorities/names/nb2016001358,naf,personal,,
mods_subject_topic_ms,"Fletcher, R.","Fletcher, R.",,local,personal,,
mods_subject_topic_ms,Fukashichi (Ficticious character),Fukashichi (Fictitious character),,local,personal,,
mods_subject_topic_ms,Luftwaffe,Germany. Luftwaffe,http://id.loc.gov/authorities/names/n79079579,naf,corporate,,replace
mods_subject_topic_ms,Operations Room,Great Britain. Royal Air Force. Air Training Corps. Headquarters,http://id.loc.gov/authorities/names/nb2004307959,naf,corporate,,replace
mods_subject_topic_ms,Guerriere (Frigate).,Guerriere (Frigate),http://id.loc.gov/authorities/names/nr93014330,naf,corporate,,replace
mods_subject_topic_ms,Goering,"Göring, Hermann, 1893-1946",http://id.loc.gov/authorities/names/n80061235,naf,personal,,replace
mods_subject_topic_ms,Hitler,"Hitler, Adolf, 1889-1945",http://id.loc.gov/authorities/names/n79046200,naf,personal,,replace
mods_subject_topic_ms,Jacobus.,"James I, King of England, 1566-1625",http://id.loc.gov/authorities/names/n80035841,naf,personal,,replace
mods_subject_topic_ms,Java (Frigate).,Java (Frigate),http://id.loc.gov/authorities/names/n92076849,naf,corporate,,replace
mods_subject_topic_ms,"Kamakura, Gongoro (Fictitious character)","Kamakura, Gongoro (Fictitious character)",,local,personal,,split
mods_subject_topic_ms,Kesselring,"Kesselring, Albert, 1885-1960",http://id.loc.gov/authorities/names/n85278379,naf,personal,,replace
mods_subject_topic_ms,Kiyokime (Ficticious character),Kiyokime (Fictitious character),,local,personal,,split
mods_subject_topic_ms,Lone Ranger (Fictitious character).,Lone Ranger (Fictitious character),http://id.loc.gov/authorities/names/no2016112351,naf,personal,,replace
mods_subject_topic_ms,Macedonian (Frigate).,Macedonian (Frigate),,local,corporate,,split
mods_subject_topic_ms,March of Dimes.,March of Dimes Birth Defects Foundation,http://id.loc.gov/authorities/names/n81039787,naf,corporate,,replace
mods_subject_topic_ms,Martin.,"Martin, Ada",,local,personal,,replace
mods_subject_topic_ms,"the Senate and House of Representatives of the state of Maryland.""",Maryland. General Assembly,http://id.loc.gov/authorities/names/n80046011,naf,corporate,,replace
mods_subject_topic_ms,Miss America,Miss America Pageant,http://id.loc.gov/authorities/names/n00145427,naf,corporate,,replace
mods_subject_topic_ms,Miss Pittsburgh,Miss Pittsburgh Pageant,,local,conference,,replace
mods_subject_topic_ms,"Miss Pittsburgh, Jr.","Miss Pittsburgh, Jr. Pageant",,local,conference,,replace
mods_subject_topic_ms,Narjeot,Narjeot,,,personal,,remove
mods_subject_topic_ms,National Recreation Congress,National Recreation Congress,http://id.loc.gov/authorities/names/nr2001036650,naf,conference,,
mods_subject_topic_ms,Academic Hall,Point Park College. Academic Hall,,local,corporate,,replace
mods_subject_topic_ms,President (Frigate).,President (Frigate),http://id.loc.gov/authorities/names/n92083696,naf,corporate,,replace
mods_subject_topic_ms,Pride in Pittsburgh.,Pride in Pittsburgh,,local,corporate,,replace
mods_subject_topic_ms,"Project Achievement (Pittsburgh, Pa.)","Project Achievement (Pittsburgh, Pa.)",,local,corporate,,
mods_subject_topic_ms,Don Quixote (Fictitious character).,"Quixote, Don (Fictitious character)",http://id.loc.gov/authorities/names/no2016096229,naf,personal,,replace
mods_subject_topic_ms,Robin Hood (Legendary character),Robin Hood (Legendary character),http://id.loc.gov/authorities/names/nb2015015087,naf,personal,,
mods_subject_topic_ms,Santa Claus,Santa Claus (Fictitious character),http://id.loc.gov/authorities/names/no2015039717,naf,personal,,replace
mods_subject_topic_ms,"Sawyer, Tom (Fictitious character).","Sawyer, Tom (Fictitious character)",http://id.loc.gov/authorities/names/nb2017010133,naf,personal,,replace
mods_subject_topic_ms,Sperrle,"Sperrle, Hugo, 1885-1953",http://id.loc.gov/authorities/names/n87836429,naf,personal,,replace
mods_subject_topic_ms,"Stephen Foster Memorial (Pittsburgh, Pa.)",Stephen Collins Foster Memorial (University of Pittsburgh),http://id.loc.gov/authorities/names/n50036159,naf,corporate,,replace
mods_subject_topic_ms,Todt,"Todt, Fritz, 1891-1942",http://id.loc.gov/authorities/names/n87940659,naf,personal,,replace
mods_subject_topic_ms,"UE Convention, Publications","United Electrical, Radio and Machine Workers of America. Convention",http://id.loc.gov/authorities/names/n88111872,naf,corporate,,replace
mods_subject_topic_ms,United States (Frigate).,United States (Frigate),http://id.loc.gov/authorities/names/nr91023198,naf,corporate,,replace
mods_subject_topic_ms,"63d regt., 1861-1864",United States. Army,http://id.loc.gov/authorities/names/n79063202,naf,corporate,,split
mods_subject_topic_ms,"63d regt., 1861-1864","United States. Army. Pennsylvania Infantry Regiment, 63rd (1861-1864)",http://id.loc.gov/authorities/names/no00073594,naf,corporate,,add
mods_subject_topic_ms,Supreme Court Justices.,United States. Supreme Court,http://id.loc.gov/authorities/names/n79006848,naf,corporate,,split
mods_subject_topic_ms,Gort,"Vereker, John, Viscount Gort, 1886-1946",http://viaf.org/viaf/20612829,viaf,personal,,replace
mods_subject_topic_ms,Vestris.,"Vestris, Auguste, 1760-1842",http://id.loc.gov/authorities/names/n97859240,naf,personal,,replace
mods_subject_topic_ms,Veterans of Foreign Wars,Veterans of Foreign Wars of the United States,http://id.loc.gov/authorities/names/n81094908,naf,corporate,,replace
mods_subject_topic_ms,"W. P. Snyder, Jr. (Tugboat)","W. P. Snyder, Jr. (Tugboat)",,local,corporate,,split
mods_subject_topic_ms,Wilson.,"Wilson, Mary",,local,personal,,replace
mods_subject_topic_ms,"Bando, Shuka","Bandō, Shūka I, 1813-1855",http://id.loc.gov/authorities/names/no2024091586,naf,personal,,split
mods_subject_topic_ms,Pennsylvania College for Women Alumnae Association,Pennsylvania College for Women. Alumni Association,,local,corporate,,add
mods_subject_topic_ms,"""Ma"" Pitt's Restaurant (Pittsburgh, Pa.)","""Ma"" Pitt's Restaurant (Pittsburgh, Pa.)",,local,corporate,,
mods_subject_topic_ms,"1947 Memorial Day Committee (Oakmont, Pa.)","1947 Memorial Day Committee (Oakmont, Pa.)",,local,corporate,,
mods_subject_name_corporate_namePart_ms,25-ai︠a︡ Obraztsovai︠a︡ shkola Okti︠a︡brʹskogo raĭona g. Moskvy,25-ai︠a︡ Obraztsovai︠a︡ shkola Okti︠a︡brʹskogo raĭona g. Moskvy,http://id.loc.gov/authorities/names/n99057316,naf,corporate,,
mods_subject_topic_ms,"A.B. Breitwiester Lumber Company (Pittsburgh, Pa.)","A. B. Breitwiester Lumber Company (Pittsburgh, Pa.)",,local,corporate,,replace
mods_subject_topic_ms,A. Hoen &amp,A. Hoen & Co.,http://id.loc.gov/authorities/names/n50023560,naf,corporate,,replace
mods_subject_topic_ms,A. K. Johnston Limited.,A. K. Johnston Limited,,local,corporate,,remove
mods_subject_topic_ms,"A. L. Sailor (Tailor: Pittsburgh, Pa.)","A. L. Sailor (Tailor: Pittsburgh, Pa.)",,local,corporate,,
mods_subject_topic_ms,"A. Leo Weil School (Pittsburgh, Pa.).Library.","A. Leo Weil School (Pittsburgh, Pa.). Library",,local,corporate,,replace
mods_subject_topic_ms,Abaray Sr.,"Abaray, G., Sr.",,local,personal,,replace
mods_subject_topic_ms,"Abaray Sr., G.","Abaray, G., Sr.",,local,personal,,replace
mods_subject_topic_ms,Aber family.,Aber family,http://id.loc.gov/authorities/subjects/sh85000132,lcsh,family,,replace
mods_subject_topic_ms,"Aber, Clarence.","Aber, Clarence",,local,personal,,replace
mods_subject_topic_ms,"Abert, J. W. (James William), 1820-1897.","Abert, J. W. (James William), 1820-1897",http://id.loc.gov/authorities/names/no98079676,naf,personal,,replace
mods_subject_topic_ms,"Abert, John James, 1788-1863.","Abert, John James, 1788-1863",http://id.loc.gov/authorities/names/nr92005908,naf,personal,,replace
mods_subject_topic_ms,"Abington, Mrs., (Frances Barton), 1737-1815","Abington, Mrs. (Frances Barton), 1737-1815",http://id.loc.gov/authorities/names/nr2001011606,naf,personal,,replace
mods_subject_topic_ms,Lincoln Group,"Abraham Lincoln Group (Chicago, Ill.)",,local,corporate,,replace
mods_subject_topic_ms,"Abrams, Albert.","Abrams, Albert M., 1904-1977",,local,personal,,replace
mods_subject_topic_ms,"Abrams, Albert M., 1904-1977.","Abrams, Albert M., 1904-1977",,local,personal,,replace
mods_subject_topic_ms,"Abzug, Bella S., 1920-1998","Abzug, Bella S., 1920-1998",http://id.loc.gov/authorities/names/n83231578,naf,personal,,
mods_subject_topic_ms,Academy of Natural Sciences of Philadelphia.,Academy of Natural Sciences of Philadelphia,http://id.loc.gov/authorities/names/n79139555,naf,corporate,,replace
mods_subject_topic_ms,"Ace Sportswear Store (Wilkinsburg, Pa.)","Ace Sportswear Store (Wilkinsburg, Pa.)",,local,corporate,,
mods_subject_topic_ms,"Acheson, Jean W.","Acheson, Jean W.",,local,personal,,
mods_subject_topic_ms,"Acheson, John Carey, 1870-1937","Acheson, John Carey, 1870-1937",http://id.loc.gov/authorities/names/n84124754,naf,personal,,
mods_subject_topic_ms,Ackerman Lithr.,Ackerman Lithr.,http://id.loc.gov/authorities/names/n50067772,naf,corporate,,
mods_subject_topic_ms,"Ackleson, Martha","Ackleson, Martha",,local,personal,,
mods_subject_topic_ms,"Acland, Christian Henrietta Caroline Fox-Strangways, 1750-1815","Acland, Harriet 1750-1815",http://viaf.org/viaf/1455162062751651650006,viaf,personal,,replace
mods_subject_name_corporate_namePart_ms,Action française,Action française,http://id.loc.gov/authorities/names/n81010282,naf,corporate,,
mods_subject_topic_ms,"Adam Hats (Pittsburgh, Pa.)","Adam Hats (Pittsburgh, Pa.)",,local,corporate,,
mods_subject_topic_ms,"Adam, Alex F.","Adam, Alex F.",,local,personal,,
mods_subject_topic_ms,"Adams, Alice","Adams, Alice",,local,personal,,
mods_subject_topic_ms,"Adams, Bill","Adams, Bill",,local,personal,,
mods_subject_topic_ms,"Adams, Forrest","Adams, Forrest",,local,personal,,
mods_subject_topic_ms,"Adams, Harvey.","Adams, Harvey",,local,personal,,replace
mods_subject_name_personal_namePart_ms,"Adams, John Quincy, 1767-1848","Adams, John Quincy, 1767-1848",http://id.loc.gov/authorities/names/n79140988,naf,personal,,
mods_subject_topic_ms,"Adams, John Quincy, 1767-1848","Adams, John Quincy, 1767-1848",http://id.loc.gov/authorities/names/n79140988,naf,personal,,
mods_subject_name_personal_namePart_ms,"Adams, John, 1735-1826","Adams, John, 1735-1826",http://id.loc.gov/authorities/names/n79105675,naf,personal,,
mods_subject_topic_ms,"Adams, Louise Curl","Adams, Louise Curl",,local,personal,,
mods_subject_topic_ms,"Adams, Nicky","Adams, Nicky",,local,personal,,
mods_subject_topic_ms,"Adams, Peter","Adams, Peter",,local,personal,,
mods_subject_topic_ms,"Adams, Tori","Adams, Tori",,local,personal,,
