field_source_collection,field_source_collection_id,field_source_repository,field_source_citation,field_related_title_part_of,Status,mods_relatedItem_host_titleInfo_title_ms,mods_relatedItem_host_originInfo_dateCreated_ms,mods_relatedItem_host_identifier_ms,mods_relatedItem_host_identifier_local-asc_ms,mods_relatedItem_host_note_prefercite_ms,mods_relatedItem_note_prefercite_ms
"American Left Ephemera Collection, 1875-2015",AIS.2007.11,"Archives & Special Collections, University of Pittsburgh Library System","American Left Ephemera Collection, 1875-2015, AIS.2007.11, Archives & Special Collections, University of Pittsburgh Library System",,,American Left Ephemera Collection,1894-2008,,AIS.2007.11,"American Left Ephemera Collection\, 1894-2008\, AIS.2007.11\, Archives Service Center\, University of Pittsburgh",
"American Left Ephemera Collection, 1875-2015",AIS.2007.11,"Archives & Special Collections, University of Pittsburgh Library System","American Left Ephemera Collection, 1875-2015, AIS.2007.11, Archives & Special Collections, University of Pittsburgh Library System",,,American Left Ephemera Collection,1875-2014,,AIS.2007.11,"American Left Ephemera Collection\, 1894-2008\, AIS.2007.11\, Archives Service Center\, University of Pittsburgh",
"Patricia Clapp Papers, 1947-2015",MSS 1196,"Detre Library & Archives, Heinz History Center","Patricia Clapp Papers, 1947-2015, MSS 1196, Detre Library & Archives, Heinz History Center",,,Patricia Clapp Papers,1947-2015,,MSS 1196,"Patricia Clapp Papers\, 1947-2015\, MSS 1196\, Thomas and Katherine Detre Library and Archives\, Senator John Heinz History Center",
"Andrew Carnegie Correspondence Collection, 1890-1920",CLP.20170718.001,"William R. Oliver Special Collections Room, Carnegie Library of Pittsburgh","Andrew Carnegie Correspondence Collection, 1890-1920, CLP.20170718.001, William R. Oliver Special Collections Room, Carnegie Library of Pittsburgh",,,Andrew Carnegie Correspondence Collection,1890-1920,,CLP.20170718.001,"The Andrew Carnegie Correspondence Collection\, the William R. Oliver Special Collections Room\, Carnegie Library of Pittsburgh",
"Bob Nelkin Collection of ACC-PARC Records, 1953-2000",MSS 1002,"Detre Library & Archives, Heinz History Center","Bob Nelkin Collection of ACC-PARC Records, 1953-2000, MSS 1002, Detre Library & Archives, Heinz History Center",,,Bob Nelkin Collection of ACC-PARC Records,1953-2000,,MSS 1002,"Bob Nelkin Collection of ACC-PARC Records\, 1953-2000\, MSS 1002 \, Detre Library and Archives\, Senator John Heinz History Center",
"Kennywood Park Records, 1895-2018",MSS 141,"Detre Library & Archives, Heinz History Center","Kennywood Park Records, 1895-2018, MSS 141, Detre Library & Archives, Heinz History Center",,,"Kennywood Park Records\, 1895-2018\, MSS 141\, Detre Library and Archives\, Senator John Heinz History Center",1895/2018,,MSS 141,"Kennywood Park Records\, 1895-2018\, MSS 141\, Detre Library & Archives\, Heinz History Center",
"Department of Public Health Annual Reports, Pittsburgh, Pa., 1871-1916",AIS.1974.28,"Archives & Special Collections, University of Pittsburgh Library System","Department of Public Health Annual Reports, Pittsburgh, Pa., 1871-1916, AIS.1974.28, Archives & Special Collections, University of Pittsburgh Library System",,,"Department of Public Health Annual Reports\, Pittsburgh\, Pa.\, 1871-1916",1871-1916,AIS.1974.28,,,"Department of Public Health Annual Reports\, Pittsburgh\, Pa.\, 1871-1916\, AIS.1974.28\, Archives & Special Collections\, University of Pittsburgh Library System"
"First Trinity Evangelical Lutheran Church, Pittsburgh, Pa., Records, Pittsburgh, Pa., 1837-1975",AIS.1975.04,"Archives & Special Collections, University of Pittsburgh Library System","First Trinity Evangelical Lutheran Church, Pittsburgh, Pa., Records, Pittsburgh, Pa., 1837-1975, AIS.1975.04, Archives & Special Collections, University of Pittsburgh Library System",,,"First Trinity Evangelical Lutheran Church\, Pittsburgh\, Pa. Records",1837-1975,AIS.1975.04,,,"First Trinity Evangelical Lutheran Church\, Pittsburgh\, Pa. Records\, 1837-1975\, AIS.1975.04\, Archives & Special Collections\, University of Pittsburgh Library System"
"McConway and Torley Company Records, 1889-1948",AIS.1965.04,"Archives & Special Collections, University of Pittsburgh Library System","McConway and Torley Company Records, 1889-1948, AIS.1965.04, Archives & Special Collections, University of Pittsburgh Library System",,,McConway & Torely Company Records,1889-1945,,AIS.1965.04,"McConway and Torely Company Records\, 1889-1948\, AIS.1965.04\, Archives & Special Collections\, University of Pittsburgh Library System",
"Woman's Christian Temperance Union, Wilkinsburg, Pa. Records, 1885-1955",AIS.1972.05,"Archives & Special Collections, University of Pittsburgh Library System","Woman's Christian Temperance Union, Wilkinsburg, Pa. Records, 1885-1955, AIS.1972.05, Archives & Special Collections, University of Pittsburgh Library System",,,"Woman's Christian Temperance Union\, Wilkinsburg\, Pa. Records",1885-1955,,AIS.1972.05,"Woman's Christian Temperance Union Records\, Wilkinsburg\, Pa.\, 1885-1955\, AIS.1972.05\, Archives Service Center\, University of Pittsburgh",
"H.K. Porter Co., Pittsburgh, Pa. Records, 1877-1968",AIS.1973.15,"Archives & Special Collections, University of Pittsburgh Library System","H.K. Porter Co., Pittsburgh, Pa. Records, 1877-1968, AIS.1973.15, Archives & Special Collections, University of Pittsburgh Library System",,,"H.K. Porter Co.\, Pittsburgh\, Pa. Records",1877-1968,AIS.1973.15,,,"H.K. Porter Co. Records\, Pittsburgh\, Pa.\, 1877-1968\, AIS.1973.15\, Archives & Special Collections\, University of Pittsburgh Library System"
