Solr_Field,Original_Heading,Count,Valid_Heading,URI,Authority,Type,Thoroughfares_Features,Action,Change_To,Changed,Note
mods_subject_topic_ms,"Election, 1852",1,1852,,local,temporal,,add,1852,true,
mods_subject_topic_ms,May poles 1900-1910.,1,1900-1910,,local,temporal,,add,1900-1910,true,
mods_subject_topic_ms,Politics and government--1917-1936,206,1917-1936,,local,temporal,,add,1917-1936,true,
mods_subject_topic_ms,Politics and government--1936-1953,206,1936-1953,,local,temporal,,add,1936-1953,true,
mods_subject_topic_ms,4-H clubs,1,4-H clubs,http://id.loc.gov/authorities/subjects/sh85000002,lcsh,topic,,,,false,
mods_subject_topic_ms,Aardvark,1,Aardvark,http://id.loc.gov/authorities/subjects/sh85000028,lcsh,topic,,,,false,
mods_subject_topic_ms,Aardvarks,1,Aardvark,http://id.loc.gov/authorities/subjects/sh85000028,lcsh,topic,,replace,Aardvark,true,
mods_subject_topic_ms,Abandoned buildings,157,Abandoned buildings,http://id.loc.gov/authorities/subjects/sh2006005935,lcsh,topic,,,,false,
mods_subject_topic_ms,Abandoned coal mines,2,Abandoned coal mines,http://id.loc.gov/authorities/subjects/sh85000052,lcsh,topic,,,,false,
mods_subject_topic_ms,Abandoned farms,1,Abandoned farms,http://id.loc.gov/authorities/subjects/sh85047324,lcsh,topic,,,,false,
mods_subject_topic_ms,Abandoned houses.,2,Abandoned houses,http://id.loc.gov/authorities/subjects/sh88005625,lcsh,topic,,replace,Abandoned houses,true,
mods_subject_topic_ms,Abduction,2,Abduction,http://id.loc.gov/authorities/subjects/sh85000114,lcsh,topic,,,,false,
mods_subject_topic_ms,"Abercrombie's Ticonderoga Campaign, 1758",1,"Abercrombie's Ticonderoga Campaign, N.Y., 1758",http://id.loc.gov/authorities/subjects/sh85000134,lcsh,topic,,replace,"Abercrombie's Ticonderoga Campaign, N.Y., 1758",true,
mods_subject_topic_ms,Abolitionists,3,Abolitionists,http://id.loc.gov/authorities/subjects/sh85000188,lcsh,topic,,,,false,
mods_subject_topic_ms,Absentee voting,1,Absentee voting,http://id.loc.gov/authorities/subjects/sh85144421,lcsh,topic,,,,false,
mods_subject_topic_ms,Academic costume,12,Academic costume,http://id.loc.gov/authorities/subjects/sh85000298,lcsh,topic,,,,false,
mods_subject_topic_ms,Academic decorations of honor,60,Academic decorations of honor,http://id.loc.gov/authorities/subjects/sh85036314,lcsh,topic,,,,false,
mods_subject_topic_ms,College libraries,1,Academic libraries,http://id.loc.gov/authorities/subjects/sh85076584,lcsh,topic,,replace,Academic libraries,true,
mods_subject_topic_ms,University libraries,4,Academic libraries,http://id.loc.gov/authorities/subjects/sh85076584,lcsh,topic,,replace,Academic libraries,true,
mods_subject_topic_ms,Academic rites and ceremonies,11,Academic rites and ceremonies,http://id.loc.gov/authorities/subjects/sh95008853,lcsh,topic,,,,false,
mods_subject_topic_ms,Academic writing,7,Academic writing,http://id.loc.gov/authorities/subjects/sh93009381,lcsh,topic,,,,false,
mods_subject_topic_ms,Accidents,10,Accidents,http://id.loc.gov/authorities/subjects/sh99002078,lcsh,topic,,,,false,
mods_subject_topic_ms,Accidents prevention,2,Accidents--Prevention,http://id.loc.gov/authorities/subjects/sh85000371,lcsh,topic,,replace,Accidents--Prevention,true,
mods_subject_topic_ms,Accordion.,1,Accordion,http://id.loc.gov/authorities/subjects/sh85000385,lcsh,topic,,replace,Accordion,true,
mods_subject_topic_ms,Accordionists,1,Accordionists,http://id.loc.gov/authorities/subjects/sh85000404,lcsh,topic,,,,false,
mods_subject_topic_ms,Accounting,15,Accounting,http://id.loc.gov/authorities/subjects/sh99002080,lcsh,topic,,,,false,
mods_subject_topic_ms,Accounting departments,1,Accounting departments,http://id.loc.gov/authorities/subjects/sh85000426,lcsh,topic,,,,false,
mods_subject_topic_ms,Accreditation.,1,Accreditation,http://id.loc.gov/authorities/subjects/sh85000436,lcsh,topic,,replace,Accreditation,true,
mods_subject_topic_ms,Acid rain,1,Acid rain,http://id.loc.gov/authorities/subjects/sh85000526,lcsh,topic,,,,false,
mods_subject_topic_ms,Acolytes,1,Acolytes,http://id.loc.gov/authorities/subjects/sh85000565,lcsh,topic,,,,false,
mods_subject_topic_ms,Altar boys,1,Acolytes,http://id.loc.gov/authorities/subjects/sh85000565,lcsh,topic,,replace,Acolytes,true,
mods_subject_topic_ms,Extension to the territories,1,Acquisition of territory,http://id.loc.gov/authorities/subjects/sh85000631,lcsh,topic,,replace,Acquisition of territory,true,
mods_subject_topic_ms,Acrobatics,4,Acrobatics,http://id.loc.gov/authorities/subjects/sh85000652,lcsh,topic,,,,false,
mods_subject_topic_ms,Acrobats.,38,Acrobats,http://id.loc.gov/authorities/subjects/sh85000653,lcsh,topic,,replace,Acrobats,true,
mods_subject_topic_ms,Act (Philosophy),1,Act (Philosophy),http://id.loc.gov/authorities/subjects/sh85000677,lcsh,topic,,,,false,
mods_subject_topic_ms,Acting teachers,1,Acting teachers,http://id.loc.gov/authorities/subjects/sh85000698,lcsh,topic,,,,false,
mods_subject_topic_ms,Actions and defenses,1,Actions and defenses,http://id.loc.gov/authorities/subjects/sh85000723,lcsh,topic,,,,false,
