solr_field,machine_name,required,label,prefix,notes
,id,yes,,,Copy PID
PID,field_pid,,,,
ancestors_ms,,,,,Used for batching records by collection; can delete this column after exporting data from Solr.
RELS_EXT_isSequenceNumber_literal_ms,field_weight,,,,Remove leading 0's.
fedora_datastream_info_TRANSCRIPT_ID_ms,transcript,,,,Transcript file
fedora_datastream_info_HOCR_ID_ms,hocr,,,,HOCR file
fedora_datastream_info_OCR_ID_ms,extracted_text,,,,Extracted text file
RELS_EXT_hasModel_uri_ms,field_model,yes,Model*,,"Use for determining Resource Type, then delete

Use for determining display logic, along with Model. Terms come from Islandora Models vocab."
RELS_EXT_isConstituentOf_uri_ms,parent_id,,,,Use to fill in parent_id column; then delete.
RELS_EXT_isMemberOf_uri_ms,parent_id,,,,Use to fill in parent_id column; then delete.
mods_typeOfResource_ms,field_type_of_resource,,Type of Resource,,Use for metadata display
mods_typeOfResource_ms,field_resource_type,yes,"Type* (change from ""Resource Type"")",,"Use for determining Resource Type, then delete

Use for determining display logic, along with Model. Terms come from Resource Types vocab."
mods_genre_authority_aat_ms,field_genre,,Genre,,
mods_genre_ms,field_genre,,Genre,,
mods_note_relation_ms,field_related_title,,Related Title,,"Custom text plain, long"
mods_note_isPartOf_ms,field_related_title_part_of,,Part of,,"Custom text plain, long"
mods_note_replaces_ms,field_related_title_preceding,,Preceding Title,,"Custom text plain, long"
mods_note_isReplacedby_ms,field_related_title_succeeding,,Succeeding Title,,"Custom text plain, long"
mods_note_hasPart_ms,field_related_title_constituent,,Includes,,"Custom text plain, long"
mods_note_isVersionOf_ms,field_related_title_original,,Original Version,,"Custom text plain, long"
mods_note_hasFormat_ms,field_related_title_other_format,,Other Format,,"Custom text plain, long"
mods_note_hasVersion_ms,field_related_title_other_versio,,Other Version,,"Custom text plain, long"
mods_note_isReferencedBy_ms,field_related_title_referenced,,Referenced By,,"Custom text plain, long"
,field_full_title,,Full Title,,"Composed of: 
mods_titleInfo_nonSort_ms + 
mods_titleInfo_title_ms + """":"""" + mods_titleInfo_subtitle_ms + """","""" + mods_titleInfo_partNumber_ms + """","""" +mods_titleInfo_partName_ms"""
mods_titleInfo_subTitle_ms,field_full_title,,Full Title,,Copy to Full Title
,title,,Title,,Displays as title in header and list views - note that this sometimes differs from i7. Composed of: mods_titleInfo_nonSort_ms + mods_titleInfo_title_ms + mods_titleInfo_partNumber_ms + mods_titleInfo_partName_ms
mods_name_personal_arranger_namePart_ms,field_linked_agent,,Contributors,relators:arr:,Copy to Linked Agent w/ relators:arr:person:
mods_name_personal_editor_ms,,,Contributors,relators:edt:,No longer migrating
mods_originInfo_eventType_publication_publisher_ms,field_publisher_pitt,,Publisher,,"Custom plain text, long"
mods_originInfo_eventType_publisher_place_placeTerm_text_ms,field_place_publication,,Publication Place,,Copy to Publication Place
mods_originInfo_eventType_producer_place_placeTerm_text_ms,field_place_production,,Production Place,,"Custom plain text, long"
mods_note_language_ms,field_note,,Note,Language:,Copy to Note
mods_identifier_issue_number_ms,field_music_publisher_number,,Music Publisher Number,,Copy to Music Publisher Number
mods_originInfo_eventType_distribution_publisher_ms,field_distributor,,Distributor,,"Custom plain text, long"
mods_name_personal_lyricist_namePart_ms,field_linked_agent,,Contributors,relators:lyr:,Copy to Linked Agent with relators:lyr:person:
mods_identifier_source_ms,field_local_identifier,,Local Identifier,,
mods_name_personal_dedicatee_namePart_ms,field_linked_agent,,Contributors,relators:dte:,Copy to Linked Agent with relators:dte:person: (need to deduplicate)
mods_identifier_music_publisher_ms,field_music_publisher_number,,Music Publisher Number,,Custom long plain text field.
mods_originInfo_eventType_manufacture_place_placeTerm_text_ms,field_place_manufacture,,Manufacture Place,,Custom long plain text field
mods_originInfo_eventType_manufacturer_place_placeTerm_text_ms,field_place_manufacture,,Manufacture Place,,Copy to Manufacture Place
mods_originInfo_eventType_manufacture_publisher_ms,field_manufacturer,,Manufacturer,,Custom long plain text field
mods_originInfo_eventType_manufacturer_publisher_ms,field_manufacturer,,Manufacturer,,Copy to Manufacturer
mods_tableOfContents_ms,field_table_of_contents,,Table of Contents,,
mods_originInfo_eventType_production_publisher_ms,field_producer,,Producer,,Copy to Producer
mods_relatedItem_host_titleInfo_title_ms,field_source_collection,,Source Collection Title,,Custom taxonomy
mods_name_personal_transcriber_namePart_ms,field_linked_agent,,Contributors,relators:trc:,Copy to Linked Agent with relators:trc:person:
mods_physicalDescription_form_ms,field_physical_form,,Form,,
mods_titleInfo_uniform_partName_ms,field_uniform_title,,Uniform Title,,Copy to Uniform Title
,field_uniform_title,,Uniform Title,,"Composed of: mods_titleInfo_uniform_title_ms + "","" + mods_titleInfo_uniform_partNumber_ms + "","" + mods_titleInfo_uniform_partName_ms"
mods_titleInfo_title_ms,field_full_title,,Full Title,,Copy to Full Title and Title
mods_originInfo_encoding_marc_point_end_qualifier_questionable_dateIssued_ms,field_edtf_date,,Date,,Copy to Date
mods_physicalDescription_extent_ms,field_extent,,Extent,,
mods_name_personal_namePart_ms,field_linked_agent,,Contributors,relators:att:,"If name does not appear in any other MODS name field with a role, copy to Linked Agent with prefix of relators:att:person:"
mods_name_personal_compiler_namePart_ms,field_linked_agent,,Contributors,relators:com:,Copy to Linked Agent with relators:com:person:
mods_note_statement_of_responsibility_ms,field_statement_of_resp,,Statement of Responsibility,,Custom WYSIWYG field
mods_identifier__ms,field_music_publisher_number,,Music Publisher Number,,Copy to Music Publisher Number
mods_subject_genre_ms,field_subject_genre,,Subject (Genre),,Custom taxonomy Will need to de-duplicate (data is repeated).
mods_originInfo_eventType_distributor_publisher_ms,field_distributor,,Distributor,,Copy to Distributor
mods_originInfo_dateOther_ms,field_edtf_date,,Date,,Copy to Date
mods_subject_topic_ms,field_subject,,Subject (Topic),,
mods_originInfo_encoding_marc_dateCreated_ms,field_edtf_date,,Date,,Copy to Date
mods_language_languageTerm_code_ms,field_language,,Language,,
mods_titleInfo_uniform_title_ms,field_uniform_title,,Uniform Title,,Copy to Uniform Title
mods_subject_temporal_ms,field_temporal_subject,,Subject (Temporal),,
mods_name_personal_editor_namePart_ms,field_linked_agent,,Contributors,relators:edt:,Copy to Linked Agent with relators:edt:person:
mods_originInfo_eventType_production_place_placeTerm_text_ms,field_place_production,,Production Place,,Copy to Production Place
mods_genre_musical_composition_authority_marcmuscomp_ms,field_muscomp_genre,,Musical Composition Genre,,Custom text field
mods_identifier_matrix_number_ms,field_music_publisher_number,,Music Publisher Number,,Copy to Music Publisher Number
mods_originInfo_eventType_publication_place_placeTerm_text_ms,field_place_publication,,Publication Place,,"Custom plain text, long"
mods_titleInfo_alternative_subTitle_ms,field_alternative_title_pitt,,Alternative Title,,Copy to Alternative Title
mods_name_personal_composer_namePart_ms,field_linked_agent,,Contributors,relators:cmp:,Copy to Linked Agent with relators:cmp:person:
mods_originInfo_eventType_producer_publisher_ms,field_producer,,Producer,,Custom text plain long
mods_titleInfo_translated_subTitle_ms,field_alternative_title_pitt,,Alternative Title,,Copy to Alternative Title > Translated Title
mods_originInfo_edition_ms,field_edition,,Edition Statement,,
mods_abstract_ms,field_description_long,,Description,,
mods_titleInfo_partNumber_ms,field_full_title,,Full Title,,Copy to Full Title and Title
mods_titleInfo_uniform_partNumber_ms,field_uniform_title,,Uniform Title,,Copy to Uniform Title
mods_name_depositor_namePart_ms,field_depositor,,Contributing Institution,,Custom taxonomy
mods_originInfo_issuance_ms,field_mode_of_issuance,,Mode of Issuance,,Custom taxonomy
mods_subject_geographic_ms,field_geographic_subject,,Subject (Geographic),,
mods_originInfo_copyrightDate_ms,field_copyright_date,,Copyright Date,,Custom EDTF field
mods_name_personal_translator_namePart_ms,field_linked_agent,,Contributors,relators:trl:,Copy to Linked Agent with relators:trl:person:
mods_titleInfo_alternative_title_ms,field_alternative_title_pitt,,Alternative Title,,"""mods_titleInfo_alternative_title_ms + """":"""" + mods_titleInfo_alternative_subTitle_ms + """",""""+ mods_titleInfo_alternative_partNumber_ms + """",""""+ mods_titleInfo_alternative_partName_ms | Custom plain text, long"""
dc.rights,field_rights_statement,,Rights Statement,,Use mods_accessCondition fields instead. But NOTE - rights data doesn't seem to be in any MODS accessCondition field for Mirskey collection - only in dc.rights?
mods_identifier_music_plate_ms,field_music_publisher_number,,Music Publisher Number,,Copy to Music Publisher Number
mods_identifier_oclc_ms,field_oclc_number,,OCLC Number,,
mods_subject_name_personal_namePart_ms,field_subjects_name,,Subject (Name),person:,"Add prefix of person: (or other, as applicable)"
mods_originInfo_eventType_publisher_publisher_ms,field_publisher_pitt,,Publisher,,Copy to Publisher
mods_originInfo_encoding_marc_point_start_qualifier_questionable_dateIssued_ms,field_edtf_date,,Date,,Copy to Date
mods_originInfo_eventType_distributor_place_placeTerm_text_ms,field_place_distribution,,Distribution Place,,Copy to Distribution Place
mods_titleInfo_translated_title_ms,field_alternative_title_pitt,,Alternative Title,,Copy to Alternative Title > Translated Title
mods_titleInfo_partName_ms,field_full_title,,Full Title,,Copy to Full Title and Title
mods_titleInfo_alternative_partNumber_ms,field_alternative_title_pitt,,Alternative Title,,Copy to Alternative Title
mods_originInfo_eventType_distribution_place_placeTerm_text_ms,field_place_distribution,,Distribution Place,,"Custom plain text, long field"
mods_originInfo_encoding_marc_point_start_dateIssued_ms,field_edtf_date,,Date,,Copy to Date NOTE: Might cause some weird data - like for pitt:666989929 which now has two dates
mods_recordInfo_recordIdentifier_ms,field_record_source_id,,Record Source Identifier,,Custom plain text field
mods_note_ms,field_note,,Note,,
mods_titleInfo_nonSort_ms,field_full_title,,Full Title,,Copy to Full Title and Title
mods_originInfo_place_placeTerm_code_authority_marccountry_ms,field_place_published_pitt,,Place Published,,"Custom taxonomy ""MARC Countries"""
mods_originInfo_dateIssued_ms,field_edtf_date,,Date,,Copy to Date
mods_originInfo_dateCreated_ms,field_edtf_date,,Date,,
mods_note_biographical/historical_ms,field_note,,Note,Background:,Copy to Note
mods_name_conference_creator_namePart_ms,field_linked_agent,,Contributors,relators:att:,Copy to Linked Agent with prefix of relators:att:conference: Needs custom Conference taxonomy added to Linked Agent.
mods_name_conference_namePart_ms,field_linked_agent,,Contributors,relators:att:,Copy to Linked Agent with prefix of relators:att:conference:
mods_name_contributor_namePart_ms,field_linked_agent,,Contributors,relators:ctb:,Copy to Linked Agent with prefix of relators:ctb:person:
mods_name_corporate_associated_name_namePart_ms,field_linked_agent,,Contributors,relators:asn:,Copy to Linked Agent with prefix of relators:asn:corporate_body:
mods_name_corporate_author_namePart_ms,field_linked_agent,,Contributors,relators:aut:,Copy to Linked Agent with prefix of relators:aut:corporate_body:
mods_name_corporate_creator_namePart_ms,field_linked_agent,,Contributors,relators:cre:,Copy to Linked Agent with prefix of relators:cre:corporate_body:
mods_name_corporate_engraver_namePart_ms,field_linked_agent,,Contributors,relators:egr:,Copy to Linked Agent with prefix of relators:egr:corporate_body:
mods_name_corporate_film_producer_namePart_ms,field_linked_agent,,Contributors,relators:fmp:,Copy to Linked Agent with prefix of relators:fmp:corporate_body:
mods_name_corporate_issuing_body_namePart_ms,field_linked_agent,,Contributors,relators:isb:,Copy to Linked Agent with prefix of relators:isb:corporate_body:
mods_name_corporate_performer_namePart_ms,field_linked_agent,,Contributors,relators:prf:,Copy to Linked Agent with prefix of relators:prf:corporate_body:
mods_name_corporate_printer_namePart_ms,field_linked_agent,,Contributors,relators:prt:,Copy to Linked Agent with prefix of relators:prt:corporate_body:
mods_name_corporate_publisher_namePart_ms,field_linked_agent,,Contributors,relators:pbl:,Copy to Linked Agent with prefix of relators:pbl:corporate_body:
mods_name_corporate_sponsor_namePart_ms,field_linked_agent,,Contributors,relators:spn:,Copy to Linked Agent with prefix of relators:spn:corporate_body:
mods_name_corporate_translator_namePart_ms,field_linked_agent,,Contributors,relators:trl:,Copy to Linked Agent with prefix of relators:trl:corporate_body:
